state,place_name,population
AK,Adak,154
AK,Akhiok,64
AK,Akiak,448
AK,Akutan,1586
AK,Alakanuk,723
AK,Aleknagik,199
AK,Allakaket,171
AK,Ambler,254
AK,Anaktuvuk Pass,403
AK,Anchorage,286075
AK,Anderson,173
AK,Angoon,335
AK,Aniak,494
AK,Anvik,71
AK,Atka,54
AK,Atqasuk,255
AK,Bethel,6292
AK,Bettles,24
AK,Brevig Mission,415
AK,Buckland,511
AK,Chefornak,490
AK,Chevak,908
AK,Chignik,86
AK,Chuathbaluk,99
AK,Clark's Point,63
AK,Coffman Cove,125
AK,Cold Bay,52
AK,Cordova,2473
AK,Craig,1041
AK,Deering,170
AK,Delta Junction,955
AK,Dillingham,2126
AK,Diomede,80
AK,Eagle,85
AK,Edna Bay,25
AK,Eek,389
AK,Egegik,34
AK,Ekwok,103
AK,Elim,360
AK,Emmonak,787
AK,Fairbanks,31856
AK,False Pass,401
AK,Fort Yukon,411
AK,Galena,457
AK,Gambell,620
AK,Golovin,166
AK,Goodnews Bay,252
AK,Grayling,200
AK,Gustavus,612
AK,Holy Cross,170
AK,Homer,6040
AK,Hoonah,948
AK,Hooper Bay,1308
AK,Houston,2146
AK,Hughes,82
AK,Huslia,293
AK,Hydaburg,375
AK,Juneau city and,31555
AK,Kachemak,591
AK,Kake,537
AK,Kaktovik,272
AK,Kaltag,157
AK,Kasaan,30
AK,Kenai,7746
AK,Ketchikan,8079
AK,Kiana,422
AK,King Cove,771
AK,Kivalina,416
AK,Klawock,710
AK,Kobuk,174
AK,Kodiak,5354
AK,Kotlik,628
AK,Kotzebue,2979
AK,Koyuk,297
AK,Koyukuk,94
AK,Kupreanof,19
AK,Kwethluk,782
AK,Larsen Bay,33
AK,Lower Kalskag,269
AK,Manokotak,464
AK,Marshall,471
AK,McGrath,287
AK,Mekoryuk,200
AK,Mountain Village,594
AK,Napakiak,344
AK,Napaskiak,494
AK,Nenana,343
AK,New Stuyahok,491
AK,Newhalen,150
AK,Nightmute,293
AK,Nikolai,85
AK,Nome,3639
AK,Nondalton,118
AK,Noorvik,645
AK,North Pole,2427
AK,Nuiqsut,490
AK,Nulato,226
AK,Nunam Iqua,209
AK,Nunapitchuk,580
AK,Old Harbor,207
AK,Ouzinkie,102
AK,Palmer,6378
AK,Pelican,92
AK,Pilot Point,61
AK,Pilot Station,592
AK,Platinum,54
AK,Point Hope,781
AK,Port Alexander,73
AK,Port Heiden,91
AK,Port Lions,165
AK,Quinhagak,750
AK,Ruby,134
AK,Russian Mission,404
AK,Sand Point,600
AK,Savoonga,804
AK,Saxman,382
AK,Scammon Bay,578
AK,Selawik,760
AK,Seldovia,248
AK,Seward,2735
AK,Shageluk,96
AK,Shaktoolik,207
AK,Shishmaref,555
AK,Shungnak,254
AK,Sitka city and,8282
